model_name,config,num_tokens,max_cache_tokens,final_log_ppl,final_perplexity,final_next_token_accuracy,final_cache_mb,final_memory_saved_mb,final_memory_saved_percent,elapsed_seconds
Qwen/Qwen2.5-3B-Instruct,no_compression,8192,1000,2.166270871879533,8.725684099894504,0.529541015625,288.0,0.0,0.0,65.02537007900037
Qwen/Qwen2.5-3B-Instruct,low_l2,8192,1000,2.6252752006112132,13.808373736115907,0.4656982421875,35.15625,252.84375,87.79296875,55.77230980100012
Qwen/Qwen2.5-3B-Instruct,keydiff,8192,1000,2.412853262561839,11.165774624086742,0.4937744140625,35.15625,252.84375,87.79296875,59.14468150199991
Qwen/Qwen2.5-3B-Instruct,random,8192,1000,3.569364443188533,35.49402751056389,0.3818359375,35.15625,252.84375,87.79296875,57.56545949200017
Qwen/Qwen2.5-3B-Instruct,high_l2,8192,1000,5.011809105053544,150.17617502145023,0.287841796875,35.15625,252.84375,87.79296875,58.12571650400014
Qwen/Qwen2.5-3B-Instruct,snapkv,8192,1000,2.197415079921484,9.00171468658831,0.5255126953125,35.15625,252.84375,87.79296875,63.92911373200013
