model_name,config,processed_tokens,max_cache_tokens,log_ppl,perplexity,next_token_accuracy,cache_mb,memory_saved_mb,memory_saved_percent,elapsed_seconds
Qwen/Qwen2.5-3B-Instruct,no_compression,512,1000,2.153732303529978,8.616959562860703,0.576171875,18.0,0.0,0.0,4.39808199700019
Qwen/Qwen2.5-3B-Instruct,no_compression,1024,1000,1.8791062338277698,6.547650177984858,0.6162109375,36.0,0.0,0.0,7.605797377000272
Qwen/Qwen2.5-3B-Instruct,no_compression,1536,1000,1.8087242900704343,6.102657243834072,0.6263020833333334,54.0,0.0,0.0,10.910629814999993
Qwen/Qwen2.5-3B-Instruct,no_compression,2048,1000,1.9263983152341098,6.86474102972204,0.58984375,72.0,0.0,0.0,14.329926103000162
Qwen/Qwen2.5-3B-Instruct,no_compression,2560,1000,1.945465693436563,6.996889501959118,0.577734375,90.0,0.0,0.0,17.886411998000312
Qwen/Qwen2.5-3B-Instruct,no_compression,3072,1000,1.9962066379375756,7.361079829454739,0.5654296875,108.0,0.0,0.0,21.55822626400004
Qwen/Qwen2.5-3B-Instruct,no_compression,3584,1000,2.024084928179426,7.569181429987198,0.5532924107142857,126.0,0.0,0.0,25.34827075400017
Qwen/Qwen2.5-3B-Instruct,no_compression,4096,1000,2.0560324931284413,7.814902541735525,0.546875,144.0,0.0,0.0,29.260407273000055
Qwen/Qwen2.5-3B-Instruct,no_compression,4608,1000,2.1059937248420386,8.215262665292434,0.5418836805555556,162.0,0.0,0.0,33.28409041100031
Qwen/Qwen2.5-3B-Instruct,no_compression,5120,1000,2.147137979697436,8.560323484606931,0.53125,180.0,0.0,0.0,37.42611762300021
Qwen/Qwen2.5-3B-Instruct,no_compression,5632,1000,2.147796013392508,8.565958319652855,0.5308948863636364,198.0,0.0,0.0,41.69772251900031
Qwen/Qwen2.5-3B-Instruct,no_compression,6144,1000,2.1538142924352237,8.61766608690498,0.53076171875,216.0,0.0,0.0,46.083901033000075
Qwen/Qwen2.5-3B-Instruct,no_compression,6656,1000,2.177039901439387,8.8201590385643,0.5268930288461539,234.0,0.0,0.0,50.606469824000214
Qwen/Qwen2.5-3B-Instruct,no_compression,7168,1000,2.168957789228963,8.749160817764205,0.5283203125,252.0,0.0,0.0,55.260513083000205
Qwen/Qwen2.5-3B-Instruct,no_compression,7680,1000,2.155445474634568,8.631734541412722,0.53125,270.0,0.0,0.0,60.05966067600002
Qwen/Qwen2.5-3B-Instruct,no_compression,8192,1000,2.166270871879533,8.725684099894504,0.529541015625,288.0,0.0,0.0,65.02537007900037
Qwen/Qwen2.5-3B-Instruct,low_l2,512,1000,2.153732303529978,8.616959562860703,0.576171875,18.0,0.0,0.0,3.217668868000146
Qwen/Qwen2.5-3B-Instruct,low_l2,1024,1000,1.8791062338277698,6.547650177984858,0.6162109375,35.15625,0.84375,2.34375,6.6789595870000085
